Rk,Jugador,Posicion,Edad,Codigo de equipo,Partidos,Titulares,Minutos jugados,Triples logrados,Triples totales,Tiros de dos puntos logrados,Tiros de dos puntos totales,Tiros libres logrados,Tiros libres totales,Rebotes ofensivos,Rebotes defensivos,Asistencias,Robos,Bloqueos,Perdidas,Faltas personales,Puntos
193,Anthony Gill,PF,29,WAS,44,0,463,14,26,48,83,42,52,33,52,27,5,11,18,58,180
194,Freddie Gillespie,PF,24,ORL,9,2,119,0,1,9,21,3,7,13,23,5,3,9,5,18,21
195,Rudy Gobert,C,29,UTA,66,66,2120,0,4,362,504,303,439,241,727,72,45,137,119,176,1027
196,Brandon Goodwin,PG,26,CLE,36,5,502,19,55,45,99,24,38,14,53,91,25,1,36,39,171
197,Jordan Goodwin,SG,23,WAS,2,0,6,0,1,0,2,0,0,0,1,0,0,0,0,1,0
198,Aaron Gordon,PF,26,DEN,75,75,2376,87,260,347,574,171,230,125,314,188,44,44,133,148,1126
199,Eric Gordon,SG,33,HOU,57,46,1669,124,301,144,263,105,135,15,98,154,28,18,107,63,765
200,Devonte' Graham,PG,26,NOP,76,63,2162,192,563,104,252,118,140,37,140,316,71,12,105,95,902
201,Jerami Grant,PF,27,DET,47,47,1500,91,254,207,445,217,259,28,163,111,44,49,85,107,904
202,Hassani Gravett,PG,25,ORL,8,3,171,11,26,7,12,3,4,1,20,20,5,1,9,13,50
203,Danny Green,SF,34,PHI,62,28,1353,103,271,23,49,11,14,32,125,64,60,37,45,105,366
204,Draymond Green,PF,31,GSW,46,44,1329,16,54,119,203,60,91,45,291,320,61,50,139,136,346
205,Jalen Green,SG,19,HOU,67,67,2138,157,458,249,496,188,236,33,193,176,44,18,135,103,1157
206,JaMychal Green,PF,31,DEN,67,8,1085,33,124,126,203,81,93,81,200,59,43,26,57,158,432
207,Javonte Green,SF,28,CHI,65,45,1519,36,101,140,224,80,96,91,185,60,67,32,30,132,468
208,Jeff Green,C,35,DEN,75,63,1849,53,168,224,361,165,198,41,190,96,28,27,71,151,772
209,Josh Green,SG,21,DAL,67,3,1039,28,78,102,178,31,45,52,109,79,45,14,44,115,319
210,Blake Griffin,PF,32,BRK,56,24,958,38,145,95,168,55,76,60,168,105,27,14,31,95,359
211,Quentin Grimes,SG,21,NYK,46,6,786,72,189,23,46,13,19,24,70,44,31,11,28,72,275
212,Kyle Guy,SG,24,MIA,19,0,186,14,40,12,25,8,12,4,13,17,7,1,13,12,74
213,Rui Hachimura,PF,23,WAS,42,13,943,55,123,132,258,46,66,25,135,48,23,9,33,53,475
214,Tyrese Haliburton,SG-PG,21,IND,77,77,2695,161,389,269,520,160,190,61,250,628,134,49,199,121,1181
215,Tyler Hall,SG,24,NYK,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,R.J. Hampton,SG,20,ORL,64,14,1402,64,183,111,274,75,117,23,171,158,42,13,87,101,489
217,Tim Hardaway Jr.,SG,29,DAL,42,20,1245,102,304,107,226,78,103,13,143,92,38,6,34,74,598
218,James Harden,PG-SG,32,PHI,65,65,2419,148,448,259,544,470,536,55,445,667,82,36,284,153,1432
219,Maurice Harkless,SF,28,SAC,47,24,863,31,101,52,80,20,28,12,100,23,29,24,31,77,217
220,Jared Harper,PG,24,NOP,5,0,43,5,12,9,14,4,4,2,0,14,4,1,2,5,37
221,Montrezl Harrell,C,28,CHO,71,3,1641,4,17,354,538,212,296,149,282,145,29,43,72,137,932
222,Gary Harris,SG,27,ORL,61,30,1730,116,302,124,251,83,95,36,86,108,59,9,61,112,679
223,Joe Harris,SF,30,BRK,14,14,423,41,88,15,36,5,6,5,51,14,7,2,16,31,158
224,Tobias Harris,PF,29,PHI,73,73,2543,101,275,392,747,170,202,77,419,252,47,43,116,164,1257
225,Shaquille Harrison,SG,28,BRK,2,0,23,0,2,2,4,0,0,1,3,3,1,1,2,3,4
226,Josh Hart,SG-SF,26,POR,54,53,1791,73,213,214,356,160,211,62,326,224,61,13,114,150,807
227,Isaiah Hartenstein,C,23,LAC,68,0,1216,14,30,215,336,91,132,117,215,160,50,77,84,167,563
228,Udonis Haslem,C,41,MIA,13,0,83,1,4,13,27,3,3,4,21,4,1,1,5,15,32
229,Sam Hauser,SF,24,BOS,26,0,158,19,44,4,6,0,0,5,24,10,1,2,2,7,65
230,Jaxson Hayes,C,21,NOP,70,28,1398,20,57,225,341,144,188,115,200,43,33,55,54,155,654
231,Killian Hayes,PG,20,DET,66,40,1647,44,167,132,292,57,74,36,174,277,78,35,111,183,453
232,Gordon Hayward,SF,31,CHO,49,48,1564,86,220,197,397,126,149,38,186,177,47,22,81,85,778
233,Aaron Henry,SF,22,PHI,6,0,17,0,1,1,4,0,0,0,1,0,0,2,2,2,2
234,Juancho Hernangómez,PF,26,UTA,40,9,445,24,69,20,37,19,34,28,72,20,14,10,16,25,131
235,Willy Hernangómez,C,27,NOP,50,8,839,4,12,166,315,109,141,143,195,63,21,19,51,97,453
236,Tyler Herro,SG,22,MIA,66,10,2151,175,439,326,683,190,219,32,297,263,44,8,174,95,1367
237,Buddy Hield,SG,29,IND,81,32,2499,262,716,184,382,111,127,66,287,229,73,25,153,184,1265
238,Haywood Highsmith,SF,25,MIA,19,1,163,9,28,7,18,2,5,10,16,6,2,3,3,13,43
239,George Hill,SG,35,MIL,54,17,1253,41,134,77,141,57,62,38,117,120,42,6,41,70,334
240,Malcolm Hill,SF-SG,26,CHI,19,0,212,13,36,11,16,11,14,11,24,8,7,3,3,24,72
241,Solomon Hill,PF,30,ATL,13,1,139,2,13,1,7,0,0,6,17,12,4,2,1,16,8
242,Nate Hinton,SG,22,IND,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
243,Jaylen Hoard,SF,22,OKC,7,5,240,9,25,35,65,6,14,30,54,17,6,5,8,14,103
244,Aaron Holiday,PG,25,PHO,63,15,1021,39,103,112,235,59,68,24,98,153,42,9,67,92,400
245,Jrue Holiday,PG,31,MIL,67,64,2207,132,321,346,633,137,180,69,232,457,108,29,183,133,1225
246,Justin Holiday,SF-SG,32,SAC,74,65,2057,177,482,84,180,50,62,29,161,128,57,33,70,154,749
247,Richaun Holmes,C,28,SAC,45,37,1074,2,5,196,295,70,90,93,224,48,17,41,56,128,468
248,Rodney Hood,SF-SG,29,LAC,52,0,709,30,91,28,66,17,19,15,62,38,15,6,11,31,163
249,Scotty Hopson,SG,32,OKC,1,0,18,0,1,2,3,0,0,0,1,1,0,0,2,1,4
250,Al Horford,C,35,BOS,69,69,2005,89,265,177,304,80,95,108,422,232,49,92,65,130,701
251,Talen Horton-Tucker,SG,21,LAL,60,19,1511,49,182,175,356,100,125,37,156,159,59,29,82,148,597
252,Danuel House Jr.,SF,28,UTA,42,7,727,44,117,36,81,44,58,18,93,44,21,17,33,51,248
253,Dwight Howard,C,36,LAL,60,27,971,8,15,126,204,96,146,118,238,35,34,36,47,115,372
254,Markus Howard,SG,22,DEN,31,0,176,28,70,11,31,20,23,2,10,7,9,0,7,17,126
255,Kevin Huerter,SG,23,ATL,74,60,2188,160,411,185,349,42,52,32,222,203,55,26,91,185,892
256,Jay Huff,C,23,LAL,4,0,20,0,2,0,1,0,0,1,3,1,1,1,1,1,0
257,Elijah Hughes,SG-SF,23,POR,36,4,434,25,95,22,49,7,9,6,52,22,14,8,17,39,126
258,Feron Hunt,SF,22,NYK,2,0,8,0,0,0,2,0,0,1,0,1,1,0,1,1,0
259,De'Andre Hunter,SF,24,ATL,53,52,1577,74,195,180,380,127,166,26,150,68,36,21,69,155,709
260,Chandler Hutchison,SF,25,PHO,6,0,22,0,0,1,2,2,2,0,5,2,0,0,4,1,4
261,Bones Hyland,PG,21,DEN,69,4,1310,131,358,99,213,107,125,14,174,191,41,20,86,153,698
262,Serge Ibaka,C-PF,32,MIL,54,12,877,37,99,111,197,32,44,62,188,49,11,33,43,102,365
263,Andre Iguodala,SF,38,GSW,31,0,603,17,74,29,47,15,20,21,79,114,27,22,28,34,124
264,Joe Ingles,SF,34,UTA,45,15,1122,78,225,37,60,17,22,12,119,158,23,5,46,82,325
265,Brandon Ingram,SF,24,NOP,55,55,1869,74,226,379,757,266,322,35,285,307,34,26,151,119,1246
266,Kyrie Irving,PG,29,BRK,29,29,1091,100,239,189,377,118,129,16,111,167,41,17,73,81,796
267,Wes Iwundu,SF,27,ATL,3,1,82,3,5,5,13,3,4,3,10,0,1,0,1,8,22
268,Frank Jackson,PG,23,DET,53,7,1164,86,279,108,204,86,104,19,68,55,27,9,38,89,560
269,Isaiah Jackson,PF,20,IND,36,15,541,5,16,111,190,60,88,60,89,10,25,52,40,92,297
270,Jaren Jackson Jr.,PF,22,MEM,78,78,2126,128,401,302,635,284,345,119,335,86,73,177,130,272,1272
271,Josh Jackson,SF,24,SAC,51,3,830,33,130,87,170,55,77,21,120,54,26,22,47,88,328
272,Justin Jackson,SF,26,PHO,7,0,37,3,9,2,6,2,2,1,6,2,0,0,1,3,15
273,Reggie Jackson,SG,31,LAC,75,75,2337,167,512,312,710,138,163,39,232,359,55,15,173,159,1263
274,LeBron James,SF,37,LAL,56,56,2084,161,448,479,773,254,336,63,396,349,73,59,196,121,1695
275,DeJon Jarreau,SG,24,IND,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,DaQuan Jeffries,SG,24,MEM,3,0,9,0,1,1,1,0,0,0,2,1,0,0,0,1,2
277,Ty Jerome,SG,24,OKC,48,4,801,54,186,70,142,38,47,19,59,109,30,5,37,73,340
278,Isaiah Joe,SG,22,PHI,55,1,609,45,135,17,42,29,31,6,50,35,14,3,19,47,198
279,Alize Johnson,PF,25,NOP,23,0,167,0,4,17,35,7,12,28,33,9,5,0,12,18,41
280,B.J. Johnson,SF,26,ORL,4,0,65,4,10,7,15,0,0,6,9,0,0,1,0,4,26
281,Cameron Johnson,PF,25,PHO,66,16,1730,166,391,113,216,98,114,42,231,99,57,16,47,113,822
282,David Johnson,SG,20,TOR,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
283,Jalen Johnson,PF,20,ATL,22,0,120,3,13,19,28,5,7,2,24,3,3,2,9,9,52
284,James Johnson,PF,34,BRK,62,10,1191,23,85,121,222,29,55,51,164,130,30,34,48,162,340
285,Joe Johnson,SG,40,BOS,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2
286,Keldon Johnson,SF,22,SAS,75,74,2392,159,399,312,612,177,234,80,377,158,58,14,92,148,1278
287,Keon Johnson,SG,19,POR,37,12,697,34,100,62,172,41,51,24,57,76,28,12,46,69,267
288,Stanley Johnson,PF,25,LAL,48,27,1094,33,105,84,146,53,74,34,121,80,43,14,35,109,320
289,Tyler Johnson,PG,29,SAS,6,0,91,5,13,1,7,0,0,3,9,7,3,3,2,7,17
290,Nikola Joki?,C,26,DEN,74,74,2476,97,288,667,1023,379,468,206,813,584,109,63,281,191,2004
291,Carlik Jones,PG,24,DEN,5,0,23,0,1,1,8,2,2,1,2,5,1,0,3,0,4
